f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,target
15.0,1.5,176.734375,15.0,1.5,1.6416663361886301,175.734375,176.734375,176.734375,1.7787125567035837,1.6416663361886301,1.6416663361886301,0
90.0,2.25,179.0,51.96152422706632,1.299038105676658,3.3865542960360164,179.0,177.5,177.5,3.3865542960360164,2.9633173977824243,2.9633173977824243,0
120.0,3.0,179.765625,0.0,0.0,2.9619576903418117,179.765625,177.765625,177.765625,2.9619576903418117,2.9619576903418117,2.9619576903418117,0
120.0,3.0,176.859375,0.0,0.0,3.2057915729777258,176.859375,174.859375,174.859375,3.2057915729777258,3.2057915729777258,3.2057915729777258,1
120.0,3.0,178.0,0.0,0.0,3.0413812651491097,178.0,176.0,176.0,3.0413812651491097,3.0413812651491097,3.0413812651491097,0
120.0,3.0,177.671875,0.0,0.0,1.837582374854254,177.671875,175.671875,175.671875,1.837582374854254,1.837582374854254,1.837582374854254,1
120.0,3.0,169.078125,0.0,0.0,5.466673712997237,169.078125,167.078125,167.078125,5.466673712997237,5.466673712997237,5.466673712997237,0
105.0,2.625,166.6875,39.68626966596886,0.9921567416492215,4.679993990380757,166.6875,164.9375,164.9375,4.679993990380757,4.689999333688652,4.689999333688652,1
60.0,1.5,168.265625,60.0,1.5,2.3994933547261597,168.265625,167.265625,167.265625,2.3994933547261597,1.8811747285605875,1.8811747285605875,0
123.75,5.5625,172.578125,2.9047375096555625,1.9990231989649345,3.0455125158788956,172.578125,168.703125,169.328125,3.0455125158788956,2.7651835805918927,2.7785713927079505,1
123.0,5.5625,165.21875,3.0,2.7492896809903464,19.690153591008375,165.21875,161.71875,162.21875,19.690153591008375,20.1699565799607,19.99880367515767,0
125.125,11.78125,139.03125,0.5994789404140899,3.598909339994549,33.66979764473645,139.03125,133.03125,134.03125,33.66979764473645,33.80549546209166,33.80549546209166,0
124.0,14.359375,146.953125,0.0,2.700504510156389,25.889446261640572,146.953125,138.953125,139.953125,25.889446261640572,25.889446261640572,25.889446261640572,1
124.25,10.640625,182.8125,0.6614378277661477,1.4182646471568696,5.83061692704983,182.8125,175.1875,176.1875,5.83061692704983,6.051536478449089,6.051536478449089,0
126.0,7.0,185.0,0.0,0.0,0.8477912478906585,185.0,180.0,181.0,0.8477912478906585,0.8477912478906585,0.8477912478906585,0
125.25,6.5,184.609375,1.984313483298443,1.3228756555322954,1.7104201558023688,184.609375,179.984375,180.859375,1.7104201558023688,1.3634994900530766,1.4127454156269628,0
120.0,3.0,183.625,0.0,0.0,2.042516829796024,183.625,181.625,181.625,2.042516829796024,2.042516829796024,2.042516829796024,1
120.75,3.5,187.359375,1.984313483298443,1.3228756555322954,1.0363274624244019,187.359375,184.984375,185.109375,1.0363274624244019,0.4142835494863391,0.5036487956651937,0
126.0,7.0,181.203125,0.0,0.0,1.2397036881347898,181.203125,176.203125,177.203125,1.2397036881347898,1.2397036881347898,1.2397036881347898,0
125.75,7.25,183.1875,0.4330127018922193,0.4330127018922193,0.7880950133074057,183.1875,177.9375,178.9375,0.7880950133074057,0.9499177595981665,0.9499177595981665,0
126.0,7.0,179.84375,0.0,0.0,1.9382559009325884,179.84375,174.84375,175.84375,1.9382559009325884,1.9382559009325884,1.9382559009325884,1
120.0,3.0,178.0625,0.0,0.0,1.4563975247163805,178.0625,176.0625,176.0625,1.4563975247163805,1.4563975247163805,1.4563975247163805,0
126.0,7.0,181.5625,0.0,0.0,2.0453835214941964,181.5625,176.5625,177.5625,2.0453835214941964,2.0453835214941964,2.0453835214941964,1
120.0,3.0,181.359375,0.0,0.0,2.7178069485110603,181.359375,179.359375,179.359375,2.7178069485110603,2.7178069485110603,2.7178069485110603,0
123.75,5.5,184.984375,2.9047375096555625,1.9364916731037085,2.934132045320217,184.984375,181.109375,181.734375,2.934132045320217,2.1586829571233936,2.346820904835944,0
120.0,3.0,177.578125,0.0,0.0,3.8234665533223904,177.578125,175.578125,175.578125,3.8234665533223904,3.8234665533223904,3.8234665533223904,0
120.0,3.0,181.859375,0.0,0.0,1.2102064325457043,181.859375,179.859375,179.859375,1.2102064325457043,1.2102064325457043,1.2102064325457043,0
120.0,3.0,173.59375,0.0,0.0,1.6271020058681016,173.59375,171.59375,171.59375,1.6271020058681016,1.6271020058681016,1.6271020058681016,1
120.0,3.0,181.625,0.0,0.0,0.875,181.625,179.625,179.625,0.875,0.875,0.875,1
120.0,3.0,175.421875,0.0,0.0,1.2475562048961963,175.421875,173.421875,173.421875,1.2475562048961963,1.2475562048961963,1.2475562048961963,0
